店舗名,メールアドレス,電話番号,都道府県,区市町村,番地,建物名,URL,SSL
絶品小龍包 満月廬 新宿離宮 （新宿西口）,None,050-5484-9299,東京都,新宿区,西新宿1-4-15,高松ビル1～4F,,False
じとっこ組合 大和八木店,None,050-5485-9970,奈良県,橿原市,内膳町1-2-31,,https://c744903.gorp.jp/,True
本鮪×豊洲直送海鮮 東京夜市 大泉学園,None,050-5492-1034,東京都,練馬区,東大泉5-36-12,森川ビル1F,https://ghe9700.gorp.jp/,True
食べ飲み放題280円均一酒場 にはち 天王寺店,None,050-5488-9167,大阪府,大阪市阿倍野区,阿倍野筋2-4-56,セカンドビル5Ｆ,https://kcpe702.gorp.jp/,True
さかなや道場 焼肉だんらん炎 西船橋南口店,None,047-402-3357,千葉県,船橋市,印内町603-1,田中ビル1F,https://ghwj907.gorp.jp/,True
男前料理 酒・菜 おかず,None,050-5484-5969,東京都,港区,赤坂2-12-18,1F,https://sakana-kikaku.co.jp/,True
越後長岡・寿司居酒屋 御米の郷 長岡古正寺店,None,050-5489-2113,新潟県,長岡市,古正寺1-234-4,,https://r463803.gorp.jp/,True
Nishideria,None,050-5494-1975,大阪府,大阪市中央区,天満橋京町3-8,DDC天満橋ビル2F,https://kdtu300.gorp.jp/,True
オールドイングランド 道後山の手ホテル,None,050-5485-0641,愛媛県,松山市,道後鷺谷町1-13,,https://oldengland-dogo-yamanote.gorp.jp/,True
全席個室ダイニング もんどころ 水戸サウスタワー店,None,050-5485-4498,茨城県,水戸市,宮町1-7-33,水戸サウスタワー11F,https://www.horiifood.co.jp/index.html,True
御忍び炉端 一心 大和八木店,None,050-5485-1662,奈良県,橿原市,内膳町1-1-1,,https://kcge708.gorp.jp/,True
本格中華 食べ飲み放題 福園【フクエン】 大手町店,None,050-5487-4888,東京都,千代田区,大手町2-3-1,大手町プレイス1F,https://hukuen-thuka.gorp.jp/,True
海彦 新 ～あらた～ 杉田店,None,050-5494-6148,神奈川県,横浜市磯子区,杉田1-6-6,アズサワビル1F,https://ghcg300.gorp.jp/,True
仙台個室居酒屋 彩のごとく,None,050-5485-4830,宮城県,仙台市青葉区,中央2-3-23,キラクビル2～3F,https://ta7k800.gorp.jp/,True
和酒処 厨（みくり）,None,050-5486-5619,東京都,港区,虎ノ門2-5-5,桜ビルB1,https://a501300.gorp.jp/,True
個室×鶏料理専門店 とりかく 品川店,None,050-5484-8187,東京都,港区,港南2-15-2,品川インターシティビル3F,https://www.kisoji.co.jp/torikaku/,True
ステーキのどん中百舌鳥店,None,050-5493-4550,大阪府,堺市北区,百舌鳥梅町3-46-1,,https://kcgz616.gorp.jp/,True
新大久保ブデチゲ駅前店,None,050-5492-0385,東京都,新宿区,百人町2-2-7,2F,https://a601706.gorp.jp/,True
創業明治27年の鳥割烹 古今亭 新橋,None,050-5488-8041,東京都,港区,新橋2-9-14,,https://homepage.biglobe.ne.jp/errorpage/404.html,True
全席個室 楽蔵‐RAKUZO‐ 神田駅前店,None,050-5485-4720,東京都,千代田区,鍛冶町1-7-9,,https://rakuzo.dkdining.com/kanda/,True
信州炉端焼と日本酒の店 串の蔵 新宿東口店,None,050-5484-5113,東京都,新宿区,新宿3-34-16,池田プラザビルB1,https://e752801.gorp.jp/,True
個室居酒屋 茨城の恵み 水戸屋 品川店,None,050-5485-4466,東京都,港区,港南2-16-2,太陽生命品川ビル 3F,https://gj0g200.gorp.jp/,True
神戸牛 炭火焼肉 にくなべ屋 神戸びいどろ 大井町店,None,050-5485-7835,東京都,品川区,大井1-23-9,,https://biidoro.jp/,True
兼坂 東京丸の内店,None,050-5486-8575,東京都,千代田区,大手町2-5-6,,https://kanesaka.gorp.jp/,True
