店舗名,メールアドレス,電話番号,都道府県,区市町村,番地,建物名,URL,SSL
マカロニ市場 三島店,None,050-5485-9877,静岡県,三島市,梅名545-1,,https://macaroni.co.jp/,True
和食麺処サガミ五個荘店,None,050-5494-1646,滋賀県,東近江市,五個荘中町43-3,,https://kc52934.gorp.jp/,True
BLU CHIARO（ブル キアーロ）,bluchiaro9461@gamil.com,050-5487-9898,兵庫県,西宮市,樋之池町3-9,1F,https://kdfu100.gorp.jp/,True
＃802 CAFE＆DINER 渋谷店,None,050-5494-5097,東京都,渋谷区,宇田川町28-3,いちご渋谷文化村通りビル8F,http://www.sld-inc.com/index.html,False
倉敷甲羅本店,None,050-5487-2119,岡山県,倉敷市,東富井866-1,,https://www.kamogata.com/kora/,True
郷土料理と地酒 宮城の蔵 仙台駅前店,None,050-5494-2176,宮城県,仙台市青葉区,中央4-1-3,仙台プレイビル3F,https://ta00801.gorp.jp/,True
パパジーノ,None,050-5485-5372,広島県,広島市安佐南区,上安2-16-29,,https://papajino.gorp.jp/,True
全席個室 ウメ子の家 上野駅前店,None,050-5485-0375,東京都,台東区,上野4-10-5,THE V-CITY UENO5F,https://umeko.dkdining.com/uenocyuou/,True
Darts Bar A’s,None,050-5487-5983,東京都,新宿区,神楽坂1-10,アイダビル4F,http://dart-ace.com/,False
個室ダイニング 楽蔵うたげ 名古屋太閤通口店,None,050-5485-4765,愛知県,名古屋市中村区,椿町15-2,名古屋ミタニビル4F,https://rakuzo.dkdining.com/nagoya-taiko/,True
八剣伝 徳重店,None,050-5489-3592,愛知県,北名古屋市,徳重広畑33,フレックスイクタ1F,https://nbw3903.gorp.jp/,True
十勝の旬菜旬魚×おばんざい 個室居酒屋 団欒 帯広駅前店,None,050-5494-7903,北海道,帯広市,西一条南11-11-3,小枝銀座ビル2F,https://ha10004.gorp.jp/,True
炭焼トリコ,None,050-5489-1538,愛媛県,松山市,保免西2-3-15,,https://s515701.gorp.jp/,True
個室居酒屋 まぐろ奉行とかに代官 有楽町店,None,050-5484-4345,東京都,千代田区,有楽町2-3-6,2F,https://ggxm412.gorp.jp/,True
ブッフェ エクスブルー イオンモール鶴見緑地 店,None,050-5492-1239,大阪府,大阪市鶴見区,鶴見4-17-1,イオンモール鶴見緑地4F,https://shop.nilax.jp/detail/226?utm_source=route&utm_medium=gnavi,True
厳選ステーキ＆ダイニング KENJI．cow,None,050-5488-8025,大阪府,大阪市生野区,新今里4-3-26,,https://kdpa500.gorp.jp/,True
グランブッフェ イオンモール東浦 店,None,050-5492-1331,愛知県,知多郡東浦町,大字緒川字旭13-2,イオンモール東浦1F,https://shop.nilax.jp/detail/1108?utm_source=route&utm_medium=gnavi,True
浦和のチーズ料理専門店 ＶＯＬＥＮＴＥ‐048 ヴォランティ,None,050-5484-9557,埼玉県,さいたま市浦和区,仲町1-10-15,ATビル1F,http://xn--zck4a8fj2b8713bnmwb.com/,False
海鮮ろばた 船栄 高田店,None,050-5484-7835,新潟県,上越市,仲町4-4-1,TAKADA 556ビル2F,http://funaei.co.jp/,False
やきとり家 すみれ 会津若松店,None,050-5486-7249,福島県,会津若松市,東千石2-2-1,,https://sumile-aizuwakamatsu.gorp.jp/,True
素晴らしきかな人生 下関店,None,050-5484-4355,山口県,下関市,山の田東町7-2,アウラビル2F,https://y882900.gorp.jp/,True
浜うさぎ,None,050-5484-1813,兵庫県,揖保郡太子町,老原2-1,,http://www.japanese-dining-usagi.com/,False
ステーキのどん三鷹店,None,050-5493-4553,東京都,三鷹市,新川2-8-19,,https://geg6632.gorp.jp/,True
特選和牛大将軍 八千代緑が丘店,None,050-5489-5659,千葉県,八千代市,緑が丘2-1-1,,https://b077268.gorp.jp/,True
レインフォレストカフェ 舞浜,None,050-5489-0570,千葉県,浦安市,舞浜1-4,イクスピアリ2F シアター・フロント,https://gh0d828.gorp.jp/,True
チーズ×イタリアン オステリア エ ボッテガ エッセ 茅ヶ崎,None,050-5487-3320,神奈川県,茅ヶ崎市,東海岸北1-5-7,,https://osteriaebottegas.gorp.jp/,True
活魚と藁焼き地雷也,None,050-5486-4900,青森県,青森市,本町1-5-5,ティファニー館1F,https://ta1v302.gorp.jp/,True
シナグロ ORGANIC SALAD＆CAFE 大宮そごう,None,050-5489-2959,埼玉県,さいたま市大宮区,桜木町1-6-2,そごう大宮店3F,https://gh15100.gorp.jp/,True
寿司居酒家 海福 天王町店,None,050-5487-2867,神奈川県,横浜市保土ケ谷区,天王町2-46-2,,https://umifukutennouchou.gorp.jp/,True
Cafe Restaurant Lavender,None,050-5486-0811,滋賀県,草津市,大路1-4-31,,https://lavender-kusatsu.gorp.jp/,True
しゃぶ扇 新神戸店,None,050-5488-9861,兵庫県,神戸市中央区,北野町1,新神戸オリエンタルアベニュー2F,https://k888803.gorp.jp/,True
さかな市場 博多筑紫口2号店,None,050-5486-0455,福岡県,福岡市博多区,博多駅東1-12-3,,http://www.jandj-food.co.jp/,False
新宿ワインバル マルゴグランデ ‐MARUGO GRANDE‐ 新宿三丁目,None,050-5486-0907,東京都,新宿区,新宿3-6-14,1F,https://www.marugo-s.com/g/,True
九州の台所 ななけんや,None,050-5486-4847,神奈川県,川崎市高津区,溝口1-13-1,Qiz溝の口2F,https://kidshd.co.jp/,True
