店舗名,電話番号,都道府県,区市町村,番地,建物名,URL,SSL
隠れ家個室居酒屋 道楽ぼうず広島店,050-5488-3644,広島県,広島市中区,袋町2-22,2F,https://gguk000.gorp.jp/,True
えびす海鮮 さかな市場,050-5486-1748,広島県,広島市中区,堀川町3-13,ラッキー会館ビルB1,https://y017605.gorp.jp/,True
瀬戸海人新井口店,050-5484-7027,広島県,広島市西区,草津新町2-17-12,,https://y516603.gorp.jp/,True
吟結 はなもり,050-5494-5596,広島県,広島市中区,三川町10-18,平ビル5F,https://y120003.gorp.jp/,True
新鮮 永遠の刻 ‐とわのとき‐,050-5484-3525,広島県,広島市佐伯区,五日市中央6-11-20,,https://y033705.gorp.jp/,True
旨唐揚げと居酒メシ広島ミライザカ本通り店,050-5492-3912,広島県,広島市中区,大手町1-5-8,マリーベルB1,https://y063229.gorp.jp/,True
個室海鮮居酒屋 魚地心‐uochishin‐広島店,050-5485-3541,広島県,広島市中区,堀川町5-14,2～4F,https://y756001.gorp.jp/,True
瀬戸寿司割烹 安芸茶寮,050-5485-5801,広島県,広島市中区,三川町9-7,,https://y144400.gorp.jp/,True
青ひげ 本店,050-5486-4499,広島県,広島市中区,八丁堀8-11,,https://ya43101.gorp.jp/,True
八海山公認 個室居酒屋越後酒房 広島駅前店,050-5488-4693,広島県,広島市南区,猿猴橋町6-17,宏和12ビル5F,https://ya1p700.gorp.jp/,True
居酒屋 民宿,050-5484-1843,広島県,広島市中区,流川町2-22,,https://y186000.gorp.jp/,True
四季や,050-5494-3731,広島県,広島市中区,袋町7-26,袋町水岡ビル2～3F,https://y136108.gorp.jp/,True
月あかり,050-5485-2430,広島県,広島市中区,大手町1-8-9,,https://y121520.gorp.jp/,True
夜景を楽しむ個室炭火焼肉 極味－きわみ－,050-5484-3580,広島県,広島市中区,堀川町5-1,大内ビル5F,https://y734700.gorp.jp/,True
肉のやま金,050-5487-2448,広島県,広島市中区,八丁堀13-18,,https://y990200.gorp.jp/,True
四季菜食 えびす坐,050-5493-5021,広島県,広島市中区,胡町6-9-2F,2F,https://y062000.gorp.jp/,True
全席個室 ウメ子の家広島新天地プラザ店,050-5484-1883,広島県,広島市中区,新天地5-13,新天地プラザ6F,,False
楽笑酒場 goji‐goji（ごじごじ）中町店,050-5494-3364,広島県,広島市中区,中町5-14,2F,https://ya21902.gorp.jp/,True
オイスターバー MABUI袋町,050-5485-9942,広島県,広島市中区,袋町2-26,1F,https://y516602.gorp.jp/,True
